tweet|username|tanggal
"Kasus peretasan sistem Bank Syariah Indonesia (BSI) diharapkan tidak terulang. Sebab, peretasan itu merugikan banyak pihak.

#BankSyariahIndonesia

https://t.co/N0FsUflM3I"|medcom_id|2023-05-15
@asetiaji Aplikasi BSI Mobile, Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
"Pemerintah diminta lebih peka terhadap perkembangan ancaman siber. Hal itu berkaca dari kasus peretasan sistem Bank Syariah Indonesia (BSI).

#BankSyariahIndonesia

https://t.co/bjXDUVDQ2N"|medcom_id|2023-05-15
@hwptlk Kami mengupayakan agar seluruh transaksi dapat dilakukan. Kakak juga dapat melakukan transaksi melalui mesin ATM BSI, BSI Mobile dan Kantor Cabang BSI terdekat. InsyaAllah Bank Syariah Indonesia akan memberikan (2)|bankbsi_id|2023-05-15
@pantadandang Aplikasi BSI Mobile, Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
@tedirahmadi2 Aplikasi BSI Mobile, Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
"#StopBayarPajak
@Dan4Indonesia ok ini target lock yg kedua setelah bank syariah indonesia dan bank central asia . yg satu bank arab dan yg satu bank china . open cyber war fare now by me so people indonesia panik . ku tunjukkan show hijacking botnet legen
 https://t.co/TaLsiofJqs"|RendyWi67527372|2023-05-15
@nyengirlujmbl Aplikasi BSI Mobile, Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
@yecepe17 Aplikasi BSI Mobile, Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
@aetersely Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(3)|bankbsi_id|2023-05-15
@zyxriin melalui Aplikasi BSI Mobile, serta kami informasikan untuk transaksi atas layanan CMS BSI saat ini masih dalam proses normalisasi ya Kak. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah (2)|bankbsi_id|2023-05-15
@bububinact Aplikasi BSI Mobile, Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
@haze_has Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI. (4)|bankbsi_id|2023-05-15
Bank Syariah Indonesia (BSI) KC Pontianak Abdurahman menggelar stand booth pameran di Kantor Pertanahan Kota Pontianak untuk memasyarakatkan produk dan layanan perbankan, Senin (15/05/2023)..https://t.co/05fKIRtD9r https://t.co/epI8sI9EQo|kantahpontianak|2023-05-15
@bangsa_id melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, (3)|bankbsi_id|2023-05-15
@bangsa_id namun Alhamdulillah layanan perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile. Kami mengupayakan agar seluruh transaksi dapat dilakukan. Kakak juga dapat bertransaksi (2)|bankbsi_id|2023-05-15
@syubidoobidoo namun sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, mesin ATM dan Kantor Cabang. Untuk transaksi ke Bank lain menggunakan metode BI Fast dan metode online bisa dilakukan ya Kak. Bank Syariah Indonesia berkomitmen (2)|bankbsi_id|2023-05-15
@Bittersweutz melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, (3)|bankbsi_id|2023-05-15
@Bittersweutz namun Alhamdulillah layanan perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile. Kami mengupayakan agar seluruh transaksi dapat dilakukan. Kakak juga dapat bertransaksi (2)|bankbsi_id|2023-05-15
@DuewiWibowo Aplikasi BSI Mobile, Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
@Titis_kun Kakak juga dapat bertransaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, (3)|bankbsi_id|2023-05-15
@Titis_kun perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile. Kami mengupayakan agar seluruh transaksi dapat dilakukan. (2)|bankbsi_id|2023-05-15
@shevand1906 Kakak juga dapat bertransaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, (3)|bankbsi_id|2023-05-15
@shevand1906 perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile. Kami mengupayakan agar seluruh transaksi dapat dilakukan. (2)|bankbsi_id|2023-05-15
@nur_anisah1799 Aplikasi BSI Mobile, Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
"Seorang nasabah BSI (Bank Syariah indonesia) mengaku kehilangan uang ratusan juta miliknya yang ia tabung di BSI. Hal ini diungkap oleh warganet bernama Rochmat Purwanto di Twitter.
https://t.co/BQOVfGSb7G"|baperanewscom|2023-05-15
@apriza_pp Terkait untuk transaksi tersebut yang belum masuk namun saldo terdebet, kami sarankan kakak dapat menghubungi Layanan Bank Syariah Indonesia 14040 atau dapat mengunjungi Kantor Cabang BSI terdekat (2/6)|bankbsi_id|2023-05-15
Aplikasi Bank Syariah Indonesia (BSI) Mobile terpantau masih mengalami gangguan pada hari ini. Informasi yang menyatakan 'permintaan kehabisan waktu' masih tampak jelas saat nasabah membuka aplikasi BSI Mobile. Kamis, (11/05/2023). Baca selengkapnya di https://t.co/KeyCkinutB https://t.co/TdRIilM8tE|LPMTEROPONGUMSU|2023-05-15
@baiqmarfuatun22 namun Alhamdulillah sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, mesin ATM dan Kantor Cabang. Untuk transaksi ke Bank lain menggunakan metode BI Fast dan metode online bisa dilakukan ya Kak. Bank Syariah Indonesia berkomitmen (2)|bankbsi_id|2023-05-15
Kemenkominfo menyatakan tengah mendalami penyebab terganggunya layanan mobile banking PT Bank Syariah Indonesia Tbk. (BSI) beberapa hari lalu.  https://t.co/bNH22ND9VB|Bisniscom|2023-05-15
@jixixips04_ namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI. (3)|bankbsi_id|2023-05-15
Sempat lumpuh selama 4 hari, PT Bank Syariah Indonesia Tbk (BSI) diduga diserang ‘geng’ siber. Terkait ini DPR mendesak BUMN untuk lebih sigap dalam mengantisipasi serangn siber. Agar kejadian ini tak terulang. Anggota Komisi I DPR asal Fraksi PDI… https://t.co/jicxK1k7dL|inilahdotcom|2023-05-15
@fitriogge Saat ini untuk layanan Bank Syariah Indonesia masih dalam tahap normalisasi dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, mesin ATM dan Kantor Cabang.(3)|bankbsi_id|2023-05-15
@indomiekuahbaso kepada pihak pengirim/pihak e-Walletnya. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. Kami menghimbau (2)|bankbsi_id|2023-05-15
@indomiekuahbaso Assalamualaikum Kak, mohon maaf atas ketidaknyamanannya ya, terkait dengan hal tersebut dikarenakan rekening BSI Kakak sebagai penerima dana maka Kami Bank Syariah Indonesia bersifat pasif, terkait dengan kendala yang dialaminya silakan melakukan konfirmasi (1)|bankbsi_id|2023-05-15
@mnurabidin95 Kakak juga dapat bertransaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, (3)|bankbsi_id|2023-05-15
@sukamdp mesin ATM dan Kantor Cabang. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
@sukamdp Assalamualaikum Kak, sebelumnya kami mohon maaf atas ketidaknyamanannya. Saat ini untuk layanan Bank Syariah Indonesia masih dalam tahap normalisasi dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, (1)|bankbsi_id|2023-05-15
@temandoyie Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(4)|bankbsi_id|2023-05-15
@temandoyie Namun Alhamdulillah layanan perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile.(2)|bankbsi_id|2023-05-15
@Ibunnev transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, mesin ATM dan Kantor Cabang. Bank Syariah Indonesia berkomitmen untuk terus (2)|bankbsi_id|2023-05-15
@alim_amarullah di Nomor 14040 lalu menekan angka 1 dapat dilakukan secara berkala atau mengunjungi Kantor Cabang BSI terdekat dengan membawa buku tabungan, kartu ATM dan e-KTP. Kami informasikan untuk Layanan Operasional Kantor Cabang Bank Syariah Indonesia, selain (2)|bankbsi_id|2023-05-15
@adinstr namun Alhamdulillah sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, mesin ATM dan Kantor Cabang. Untuk transaksi ke Bank lain menggunakan metode BI Fast dan metode online bisa dilakukan ya Kak. Bank Syariah Indonesia berkomitmen (2)|bankbsi_id|2023-05-15
"Kasus peretasan sistem Bank Syariah Indonesia (BSI) diharapkan tidak terulang. Sebab, peretasan itu merugikan banyak pihak.

#BankSyariahIndonesia 

https://t.co/N0FsUfleea"|medcom_id|2023-05-15
@hahahihi_hateU Mesin ATM dan Kantor Cabang. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
@hahahihi_hateU Assalamualaikum Kak, sebelumnya mohon maaf atas ketidaknyamanannya. Saat ini untuk layanan Bank Syariah Indonesia masih dalam tahap normalisasi dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, (1)|bankbsi_id|2023-05-15
@mythisme_ di Nomor 14040 lalu menekan angka 1 dapat dilakukan secara berkala atau mengunjungi Kantor Cabang BSI terdekat dengan membawa buku tabungan, kartu ATM dan e-KTP. Kami informasikan untuk Layanan Operasional Kantor Cabang Bank Syariah Indonesia, selain (2)|bankbsi_id|2023-05-15
@pr_stunted namun Alhamdulillah sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, mesin ATM dan Kantor Cabang. Untuk transaksi ke Bank lain menggunakan metode BI Fast dan metode online bisa dilakukan ya Kak. Bank Syariah Indonesia berkomitmen (2)|bankbsi_id|2023-05-15
@abcdddit namun Alhamdulillah sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, mesin ATM dan Kantor Cabang. Untuk transaksi ke Bank lain menggunakan metode BI Fast dan metode online bisa dilakukan ya Kak. Bank Syariah Indonesia berkomitmen (2)|bankbsi_id|2023-05-15
Terkait dengan gangguan layanan yang terjadi pada PT Bank Syariah Indonesia Tbk (BSI), OJK meminta BSI untuk mempercepat penyelesaian audit forensik, mengedepankan upaya stabilisasi &amp; peningkatan layanan kepada nasabah, &amp; mengoptimalkan pemberian tanggapan atas pengaduan nasabah. https://t.co/iUzCHVUvVX|ojkindonesia|2023-05-15
@chantisoo_ Kami mengupayakan agar seluruh transaksi dapat dilakukan. Kakak juga dapat bertransaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia (2)|bankbsi_id|2023-05-15
"Hallo bank syariah Indonesia @bankbsi_id 
Untuk top up e-wallet lewat BSI mobile kenapa belum bisa ya min?"|pipibakpao__|2023-05-15
@Zaidin_Asyabah Kami mengupayakan agar seluruh transaksi dapat dilakukan. Kakak juga dapat bertransaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia berkomitmen (2)|bankbsi_id|2023-05-15
@ekoOKE59480930 atau mendatangi Kantor Cabang BSI terdekat ya Kak. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (4)|bankbsi_id|2023-05-15
@RezaSulist Kami mengupayakan agar seluruh transaksi dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI. (3)|bankbsi_id|2023-05-15
@ekoOKE59480930 Assalamualaikum Kak Eko, sebelumnya kami mohon maaf atas ketidaknyamanannya. Saat ini untuk layanan Bank Syariah Indonesia masih dalam tahap normalisasi dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, (1)|bankbsi_id|2023-05-15
@Megamegaput maka mohon kesediaan Kakak untuk dapat melakukan konfirmasi melalui Bank Syariah Indonesia Call di 14040 atau mengunjungi Kantor Cabang BSI terdekat dengan membawa Buku Tabungan, Kartu ATM dan KTP Asli (3)|bankbsi_id|2023-05-15
@jkswishes Kakak juga dapat melakukan transaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat https://t.co/gvzQZBMqJk Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah,(3)|bankbsi_id|2023-05-15
@jkswishes Namun, Alhamdulillah layanan perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile. Kami mengupayakan agar seluruh transaksi dapat dilakukan.(2)|bankbsi_id|2023-05-15
@busherz Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(4)|bankbsi_id|2023-05-15
@busherz Namun Alhamdulillah layanan perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile.(2)|bankbsi_id|2023-05-15
@ravisaravisa namun Alhamdulillah sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, mesin ATM dan Kantor Cabang. Untuk transaksi ke Bank lain menggunakan metode BI Fast dan metode online bisa dilakukan ya Kak. Bank Syariah Indonesia berkomitmen (2)|bankbsi_id|2023-05-15
@uniquelylac Kakak juga dapat bertransaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah,(3)|bankbsi_id|2023-05-15
"Pemerintah diminta lebih peka terhadap perkembangan ancaman siber. Hal itu berkaca dari kasus peretasan sistem Bank Syariah Indonesia (BSI).

#BankSyariahIndonesia 

https://t.co/bjXDUVEnSl"|medcom_id|2023-05-15
@alifahnran silakan Kakak dapat mencoba kembali transaksi melalui BSI Mobile nya. Kami mengupayakan agar seluruh transaksi dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, (2)|bankbsi_id|2023-05-15
@hellowitsmee_ namun Alhamdulillah sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, mesin ATM dan Kantor Cabang. Untuk transaksi ke Bank lain menggunakan metode BI Fast dan metode online bisa dilakukan ya Kak. Bank Syariah Indonesia berkomitmen (2)|bankbsi_id|2023-05-15
@AmbisNaxsya Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (4)|bankbsi_id|2023-05-15
UPDATE: 15 mei 2023. Proses pengurusan yang berhubungan dengan layanan Customer Service di  Kantor Cabang Bank BSI sudah normal bisa dilakukan  https://t.co/DbdbH3Hvwk|A_BLogWeb|2023-05-15
@juninaninu Kakak juga dapat melakukan transaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat https://t.co/gvzQZBMqJk Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah,(3)|bankbsi_id|2023-05-15
@juninaninu Namun,Alhamdulillah layanan perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile. Kami mengupayakan agar seluruh transaksi dapat dilakukan(2)|bankbsi_id|2023-05-15
@GagatRiyadi maka mohon kesediaannya untuk dapat melakukan pengecekan lebih lanjut dengan menghubungi Bank Syariah Indonesia Call 14040 lalu tekan 1 atau mengunjungi Kantor Cabang BSI terdekat dengan membawa KTP asli, Kartu ATM dan Buku Tabungan.(3)|bankbsi_id|2023-05-15
@agusfiyast mesin ATM dan Kantor Cabang. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI. (2)|bankbsi_id|2023-05-15
@agusfiyast Assalamualaikum Kak Agus, sebelumnya kami mohon maaf atas ketidaknyamanannya. Saat ini untuk layanan Bank Syariah Indonesia masih dalam tahap normalisasi dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, (1)|bankbsi_id|2023-05-15
@ridho_ainurr silakan Kakak dapat mencoba kembali transaksi melalui BSI Mobile nya. Kami mengupayakan agar seluruh transaksi dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, (2)|bankbsi_id|2023-05-15
@sendalkolah Hal ini karena BSI memiliki sistem keamanan teknologi yang InsyaAllah berkomitmen menjaga data dan dana nasabah aman. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah (2)|bankbsi_id|2023-05-15
@DanuBartowski Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(4)|bankbsi_id|2023-05-15
@RudyBhr transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile, mesin ATM dan Kantor Cabang. Bank Syariah Indonesia berkomitmen untuk terus (2)|bankbsi_id|2023-05-15
@daehoneyh Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI.(5)|bankbsi_id|2023-05-15
@hayakwac Kakak juga dapat melakukan transaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat https://t.co/gvzQZBMqJk Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah,(3)|bankbsi_id|2023-05-15
@hayakwac Namun Alhamdulillah layanan perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile. Kami mengupayakan agar seluruh transaksi dapat dilakukan.(2)|bankbsi_id|2023-05-15
@chocopallate Kakak juga dapat melakukan transaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat https://t.co/gvzQZBMqJk Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah,(3)|bankbsi_id|2023-05-15
@erniabdillah1 Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(4)|bankbsi_id|2023-05-15
@Syafbalqis Kakak juga dapat melakukan transaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat https://t.co/gvzQZBMqJk Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah,(3)|bankbsi_id|2023-05-15
@Syafbalqis Namun Alhamdulillah layanan perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile. Kami mengupayakan agar seluruh transaksi dapat dilakukan.(2)|bankbsi_id|2023-05-15
@fzromly Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah dan sangat berterima kasih atas kepercayaan yang diberikan untuk selalu setia menggunakan produk dan layanan BSI.(5)|bankbsi_id|2023-05-15
@cutatzone Cabang BSI terdekat namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta (3/6)|bankbsi_id|2023-05-15
@shasaastudy Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(4)|bankbsi_id|2023-05-15
Sejak terjadinya gangguan layanan perbankan PT Bank Syariah Indonesia (BSI) sejak Senin (8/5), banyak pengusaha asal Aceh tak bisa bertransaksi, menarik uang di dalam rekening atau transfer antar bank https://t.co/PC6aTTYH6U|validnewsid|2023-05-15
